5513f069-d9f3-4460-b579-b40a14fefba0,2017-04-20T09:21:05.000Z,sensor-analytics-website,FALSE,,/sensor-analytics~auth0-system-default-account,TRUE,http://sensor-analytics.default.svc.cluster.local/
a27b2a86-e1b9-42bc-ae7d-7f809e8598cf,2017-03-13T07:45:18.000Z,citus-cassandra-rest-admin,FALSE,,/citus-cassandra-rest-fb84f12f522f44849cdf708d5fa77c72,TRUE,http://citus-cassandra-rest.default.svc.cluster.local/
d3de7589-6e40-4f38-8ba9-d2a5be11b156,2017-04-20T09:19:42.000Z,recognition-toolkit-website,FALSE,,/recognition-toolkit~auth0-system-default-account,TRUE,http://recognition-toolkit.default.svc.cluster.local
522ebfde-fdaa-4c5d-bcbb-b94a0428b081,2017-04-20T05:04:52.000Z,recognition-toolkit-plate,FALSE,,/plate-recognition,TRUE,http://recognition-toolkit.default.svc.cluster.local/plate-recognition
4c43d8ef-0e4c-431a-8107-219555280b62,2017-04-20T04:57:03.000Z,sensor-analytics-anomalies,FALSE,,/anomalies,TRUE,http://sensor-analytics.default.svc.cluster.local/anomalies
7c264b63-ca80-4d79-97d9-564a36e8dd06,2017-04-20T05:05:19.000Z,recognition-toolkit-face,FALSE,,/face-detection,TRUE,http://recognition-toolkit.default.svc.cluster.local/face-detection
e5788880-f151-47fd-a3f8-c73aabe45f4f,2017-03-09T08:47:35.000Z,citus-cassandra-rest-query,FALSE,,/citus-cassandra-rest/query,TRUE,http://citus-cassandra-rest.default.svc.cluster.local/query
f44241d0-7dc6-446c-b134-69bf8f89fa07,2017-04-20T03:46:18.000Z,recognition-toolkit-docs,FALSE,,/recognition-toolkit/docs,TRUE,http://recognition-toolkit.default.svc.cluster.local/docs
0cafe90b-bc4e-4544-9af5-5083a7d43a88,2017-03-13T07:45:18.000Z,device-lifecycle-service-device,FALSE,,/device-lifecycle-service/device,TRUE,http://device-lifecycle-service.default.svc.cluster.local/device
913e7b46-34dc-4421-8ff2-f6c9181283b0,2017-02-08T05:57:59.000Z,device-lifecycle-service,FALSE,,/device-lifecycle-service,TRUE,http://device-lifecycle-service.default.svc.cluster.local
ab05a2e7-505d-48bb-998e-7555d8c6faa7,2017-04-20T04:08:28.000Z,sensor-analytics-docs,FALSE,,/sensor-analytics/docs,TRUE,http://sensor-analytics.default.svc.cluster.local/docs
